Product Name,Product Cost,Product Rating,Product Specification,Page num
HP 14s Ryzen 3 Quad Core 4300U - (8 GB/512 GB SSD/Windows 10 Home) 14s-fr0016AU Thin and Light Laptop,"₹39,490",4.4,"AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office 2019 and Office 365, HP Smart, HP Documentation, HP SSRM1 Year Onsite Warranty",0
acer Aspire 5 Core i3 11th Gen - (4 GB/1 TB HDD/Windows 10 Home) A515-56 Thin and Light Laptop,"₹38,990",4.3,"Intel Core i3 Processor (11th Gen)4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayAcer Care Center, Acer Product Registration, Quick Access1 Year International Travelers Warranty (ITW)",0
acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,"₹53,990",4.4,"Intel Core i5 Processor (9th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayAcer Collection, Acer Product Registration , Quick Access, Acer Care Center1 Year International Travelers Warranty (ITW)",0
HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,"₹50,990",4.2,AMD Ryzen 5 Quad Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,0
HP Pentium Quad Core - (8 GB/256 GB SSD/Windows 10 Home) 14s- DQ3018TU Thin and Light Laptop,"₹31,490",4.3,"Intel Pentium Quad Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP Smart1 Year Onsite Warranty",0
MSI GP65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Ge...,"₹99,990",4.7,"15.6 inches Full HD IPS Thin Bezel Display (144Hz, 45% NTSC Color Gamut)Intel Core i7 Processor (10th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplaySHIFT, SteelSeries Engine 3, Matrix Display (Extend), Dragon Center, GamingMode, VR Ready, Cooler Boost 5, Nahimic 3, Nahimic VR, Giant Speaker2 Year Warranty Term for Gaming",0
ASUS VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515JA-EJ322TS Thin and Light Lapt...,"₹37,990",4.1,"Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 2019, Splendid, Tru2Life, My Asus1 Year Onsite Warranty",0
MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,"₹56,990",4.4,"Intel Core i5 Processor (9th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayCooler Boost 5, Audio Boost, Dragon Center, Nahimic 32 Years Carry In Warranty",0
Avita Cosmos 2 in 1 Celeron Dual Core - (4 GB/64 GB EMMC Storage/Windows 10 Home) NS12T5IN025P 2 in 1 ...,"₹17,990",3.9,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System29.46 cm (11.6 inch) Touchscreen Display24 Months Warranty,0
acer Predator Helios 300 Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/N...,"₹1,16,990",4.5,"Intel Core i7 Processor (10th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayPredatorSense, Acer Care Center, Planet9, Acer Product Registration, Quick Access1 Year Onsite Warranty",0
HP Pavilion x360 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14-dw1036TU 2 in 1 Laptop,"₹48,990",4.4,"Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) Touchscreen DisplayMicrosoft Office Home and Student 2019, HP Documentation, HP Audio Switch, HP ePrint, Dropbox, HP Connection Optimizer, HP Support Assistant, HP Recovery Manager, HP System Event Utility, HP Jumpstart1 Year Onsite Warranty",0
HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-du1064TU Laptop,"₹44,490",4.3,"Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty",0
Lenovo Legion Y540 Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,"₹60,990",4.5,Intel Core i5 Processor (9th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,0
Lenovo IdeaPad Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL6 Thin and Light Laptop,"₹44,990",,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,0
acer Predator Helios 300 Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/N...,"₹1,16,990",4.5,"Intel Core i7 Processor (10th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayPredatorSense, Acer Care Center, Planet9, Acer Product Registration, Quick Access1 Year Onsite Warranty",1
acer Aspire 3 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) A315-58 Thin and Light Laptop,"₹35,990",4.1,"Intel Core i3 Processor (11th Gen)4 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD39.62 cm (15.6 inch) DisplayAcer Care Center, Acer Product Registration, Quick Access1 Year Onsite Warranty",1
HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s- DY2501TU Thin and Light Laptop,"₹40,990",4.6,"Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayHP Documentation, HP SSRM, HP Smart, Microsoft Office 2019, McAfeeLiveSafe 30 day trial, HP Support Assistant1 Year Onsite Warranty",1
HP 15s Dual Core 3020e - (4 GB/1 TB HDD/Windows 10 Home) 15s-GY0003AU Thin and Light Laptop,"₹25,990",3.9,"AMD Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayHP Documentation, HP Smart, HP Support Assistant1 Year Onsite Warranty",1
HP 15s Athlon Dual Core - (4 GB/1 TB HDD/Windows 10 Home) 15s-GY0001AU Thin and Light Laptop,"₹27,499",4.1,"AMD Athlon Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP Smart, HP Support Assistant1 Year Onsite Warranty",1
acer Aspire 7 Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,"₹49,990",4.4,"AMD Ryzen 5 Quad Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayAcer Collection, Acer Product Registration, Acer Care Center, Quick Access1 Year International Travelers Warranty (ITW)",1
DELL Inspiron Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Inspiron 3501 Laptop,"₹39,475",3.8,"Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",1
acer Aspire 5 Core i3 11th Gen - (4 GB/1 TB HDD/Windows 10 Home) A515-56 Thin and Light Laptop,"₹38,990",4.3,"Intel Core i3 Processor (11th Gen)4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayAcer Care Center, Acer Product Registration, Quick Access1 Year International Travelers Warranty (ITW)",1
MSI Modern 14 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-424IN Laptop,"₹39,990",4.5,"Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayCooler Boost, Nahimic 3, Creator Center1 Year Carry In Warranty",1
Lenovo IdeaPad 3 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,"₹42,990",4.2,Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office (Trial Only)1 Year Onsite Warranty,1
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,"₹66,990",4.7,Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,1
MSI GP65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Ge...,"₹99,990",4.7,"15.6 inches Full HD IPS Thin Bezel Display (144Hz, 45% NTSC Color Gamut)Intel Core i7 Processor (10th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplaySHIFT, SteelSeries Engine 3, Matrix Display (Extend), Dragon Center, GamingMode, VR Ready, Cooler Boost 5, Nahimic 3, Nahimic VR, Giant Speaker2 Year Warranty Term for Gaming",1
HP 14s Ryzen 3 Quad Core 4300U - (8 GB/512 GB SSD/Windows 10 Home) 14s-fr0016AU Thin and Light Laptop,"₹39,490",4.4,"AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office 2019 and Office 365, HP Smart, HP Documentation, HP SSRM1 Year Onsite Warranty",1
acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,"₹53,990",4.4,"Intel Core i5 Processor (9th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayAcer Collection, Acer Product Registration , Quick Access, Acer Care Center1 Year International Travelers Warranty (ITW)",1
HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,"₹50,990",4.2,AMD Ryzen 5 Quad Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,1
acer Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10 Home) Z2-485 Thin and Light Laptop,"₹42,990",2.9,Intel Core i7 Processor (8th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD35.56 cm (14 inch) Display1 Year Onsite Warranty,1
HP Pentium Quad Core - (8 GB/256 GB SSD/Windows 10 Home) 14s- DQ3018TU Thin and Light Laptop,"₹31,490",4.3,"Intel Pentium Quad Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP Smart1 Year Onsite Warranty",1
ASUS VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515JA-EJ322TS Thin and Light Lapt...,"₹37,990",4.1,"Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 2019, Splendid, Tru2Life, My Asus1 Year Onsite Warranty",1
MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,"₹56,990",4.4,"Intel Core i5 Processor (9th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayCooler Boost 5, Audio Boost, Dragon Center, Nahimic 32 Years Carry In Warranty",1
Lenovo IdeaPad Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 10 Home) 15ALC05 A Thin and Light L...,"₹67,990",,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,1
Avita Cosmos 2 in 1 Celeron Dual Core - (4 GB/64 GB EMMC Storage/Windows 10 Home) NS12T5IN025P 2 in 1 ...,"₹17,990",3.9,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System29.46 cm (11.6 inch) Touchscreen Display24 Months Warranty,1
HP Pavilion x360 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14-dw1036TU 2 in 1 Laptop,"₹48,990",4.4,"Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) Touchscreen DisplayMicrosoft Office Home and Student 2019, HP Documentation, HP Audio Switch, HP ePrint, Dropbox, HP Connection Optimizer, HP Support Assistant, HP Recovery Manager, HP System Event Utility, HP Jumpstart1 Year Onsite Warranty",1
HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-du1064TU Laptop,"₹44,490",4.3,"Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty",1
Lenovo IdeaPad Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL6 Thin and Light Laptop,"₹44,990",,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,1
ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,"₹58,990",4.4,"Intel Core i5 Processor (9th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 2019, Splendid (All Models), Tru2Life (Intel Platform Models), Link to MyASUS (All Models, Bluetooth Needed)1 Year Onsite Warranty",2
acer Aspire 7 Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,"₹50,990",4.5,"AMD Ryzen 5 Quad Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayAcer Collection, Quick Access, Acer Product Registration, Acer Care Center1 Year International Travelers Warranty (ITW)",2
MSI GF65 Thin Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 16...,"₹74,990",4.8,"Intel Core i5 Processor (10th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplaySilver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 32 Year Warranty Term for Gaming & Content Creation (EU-WE)",2
Mi Notebook 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) JYU4299IN Thin and Light Laptop,"₹46,999",4.3,"Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMi Blaze Unlock (Unlock NoteBook with Help of a Mi Band), Mi Smart Share1 Year Manufacturer Warranty from the Date of Purchase",2
MSI GP65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Ge...,"₹99,990",4.7,"15.6 inches Full HD IPS Thin Bezel Display (144Hz, 45% NTSC Color Gamut)Intel Core i7 Processor (10th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplaySHIFT, SteelSeries Engine 3, Matrix Display (Extend), Dragon Center, GamingMode, VR Ready, Cooler Boost 5, Nahimic 3, Nahimic VR, Giant Speaker2 Year Warranty Term for Gaming",2
acer Aspire 3 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) A315-58 Thin and Light Laptop,"₹35,990",4.1,"Intel Core i3 Processor (11th Gen)4 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD39.62 cm (15.6 inch) DisplayAcer Care Center, Acer Product Registration, Quick Access1 Year Onsite Warranty",2
ASUS Ryzen 3 Dual Core - (4 GB/256 GB SSD/Windows 10 Home) M515DA-BQ312TS Thin and Light Laptop,"₹33,990",4.3,"AMD Ryzen 3 Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 2019, Splendid (All models), Tru2Life (Intel Platform Models), Link to MyASUS (All Models, Bluetooth Needed)1 Year Onsite Warranty",2
ASUS ROG Strix G15 (2020) Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFo...,"₹92,990",5,Intel Core i7 Processor (10th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,2
Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphic...,"₹63,990",4.5,AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office (Trial Only)1 Year Onsite Warranty,2
acer Aspire 5 Core i3 11th Gen - (4 GB/1 TB HDD/Windows 10 Home) A515-56 Thin and Light Laptop,"₹38,990",4.3,"Intel Core i3 Processor (11th Gen)4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayAcer Care Center, Acer Product Registration, Quick Access1 Year International Travelers Warranty (ITW)",2
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) �INSP 5406 2 in 1 2 in 1 Laptop,"₹68,240",4.2,"Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) Touchscreen DisplayMicrosoft Office Home and Student 20191 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",2
APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A,"₹92,900",4.7,"Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",2
ASUS VivoBook Ultra K14 (2021) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) K413EA-EB302TS Thi...,"₹44,990",5,"Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 2019, Splendid, Tru2Life, MyASUS1 Year Onsite Warranty",2
ASUS ROG Strix G15 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,"₹86,990",4.9,Intel Core i7 Processor (10th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,2
HP Pavilion Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home) 14-dv0058TU Thin and Light Laptop,"₹84,990",4.5,"Intel Core i7 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 2019, HP Documentation, HP Smart, HP BIOS Recovery, HP Support Assistant1 Year Onsite Warranty",2
Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,"₹43,990",3.9,Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,2
lenovo Yoga 7 Core i7 11th Gen Intel EVO - (16 GB/512 GB SSD/Windows 10 Home) 14ITL5 2 in 1 Laptop,"₹97,990",4.9,Intel Evo platform feat 11th Gen Intel Core i7 processorIntel Core i7 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) Touchscreen DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,2
HP 15s Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du3038TU Thin and Light Laptop,"₹42,490",4.1,"Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayHP Documentation, HP BIOS Recovery, HP Smart, Dropbox, HP Support Assistant, Microsoft Office Home and Student 20191 Year Onsite Warranty",2
Lenovo Legion Core i7 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics) Y540-15IRH-PG...,"₹69,990",4.2,Intel Core i7 Processor (9th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office (Trial Only)1 Year Onsite Warranty,2
acer Predator Helios 300 Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/N...,"₹1,16,990",4.5,"Intel Core i7 Processor (10th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayPredatorSense, Acer Care Center, Planet9, Acer Product Registration, Quick Access1 Year Onsite Warranty",2
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-FR2006TU Thin and Light Laptop,"₹45,490",4.3,"Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP BIOS Recovery1 Year Domestic Brand Warranty on Device",2
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-FR2006TU Thin and Light Laptop,"₹45,490",4.3,"Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 2019, HP Documentation, HP BIOS Recovery1 Year Domestic Brand Warranty on Device",2
